iteration, destination,9->6,9->3,0->4,0->2,0->1,0->7,4->0,4->2,4->1,4->7,8->5,8->3,2->0,2->4,2->1,2->7,6->9,6->3,5->8,5->3,1->0,1->4,1->2,1->7,7->0,7->4,7->2,7->1,3->9,3->8,3->6,3->5,
1,9,1.0,1.0,1.0,1.0666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0666666666666667,1.0,
2,9,1.0,1.0,1.0,1.0666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0666666666666667,1.0,
3,9,1.0,1.0,1.0,1.0666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1428571428571428,1.2095238095238094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2095238095238094,1.0,
4,9,1.0,1.0,1.0769230769230769,1.0666666666666667,1.0,1.0,1.0769230769230769,1.0,1.0,1.0,1.0,1.0,1.0769230769230769,1.0,1.0,1.0,1.1428571428571428,1.2864468864468863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2095238095238094,1.0,
5,9,1.0,1.0,1.0769230769230769,1.0666666666666667,1.25,1.0,1.0769230769230769,1.0,1.0,1.0,1.0,1.0,1.0769230769230769,1.0,1.0,1.0,1.3928571428571428,1.2864468864468863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4595238095238094,1.0,
6,9,1.0,1.0,1.0769230769230769,1.0666666666666667,1.25,1.0526315789473684,1.0769230769230769,1.0,1.0,1.0,1.0,1.0526315789473684,1.0769230769230769,1.0,1.0,1.0,1.3928571428571428,1.2864468864468863,1.0,1.0,1.0,1.0,1.0,1.0526315789473684,1.0526315789473684,1.0,1.0,1.0526315789473684,1.0,1.0526315789473684,1.4595238095238094,1.0,
7,9,1.0,1.0,1.0769230769230769,1.2333333333333334,1.25,1.0526315789473684,1.0769230769230769,1.0,1.0,1.0,1.0,1.0526315789473684,1.2435897435897436,1.0,1.0,1.0,1.3928571428571428,1.2864468864468863,1.0,1.0,1.0,1.0,1.0,1.0526315789473684,1.0526315789473684,1.0,1.0,1.0526315789473684,1.0,1.0526315789473684,1.4595238095238094,1.0,
8,9,1.0,1.0,1.0769230769230769,1.0,1.0,1.0526315789473684,1.0769230769230769,1.0,1.0,1.0,1.0,1.0526315789473684,1.2435897435897436,1.0,1.0,1.0,1.3928571428571428,1.2864468864468863,1.0,1.0,1.0,1.0,1.0,1.0526315789473684,1.0,1.0,1.0,1.0526315789473684,1.0,1.0526315789473684,1.4595238095238094,1.0,
9,9,1.0,1.0,1.0769230769230769,1.0,1.0,1.0526315789473684,1.0769230769230769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3928571428571428,1.2864468864468863,1.0,1.0,1.0,1.0,1.0,1.0526315789473684,1.0,1.0,1.0,1.0,1.0,1.0526315789473684,1.4595238095238094,1.0,
10,9,1.0,1.0,1.0769230769230769,1.0,1.0,1.3026315789473684,1.0769230769230769,1.0,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.3928571428571428,1.2864468864468863,1.0,1.0,1.0,1.0,1.0,1.0526315789473684,1.0,1.25,1.0,1.0,1.0,1.0526315789473684,1.4595238095238094,1.0,
