iteration, destination,2->3,4->5,1->2,3->4,0->1,0->5,
1,5,1.0183993761470242,1.0183993761470242,1.0183993761470242,1.0183993761470242,1.0183993761470242,1.0,
2,5,1.0342196941293802,1.0342196941293802,1.0342196941293802,1.0342196941293802,1.0342196941293802,1.0,
3,5,1.0481223894689577,1.0481223894689577,1.0481223894689577,1.0481223894689577,1.0481223894689577,1.0,
4,5,1.0481223894689577,1.0481223894689577,1.0481223894689577,1.0481223894689577,1.0481223894689577,1.0,
5,5,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0,
6,5,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0,
7,5,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0,
8,5,1.0717734625362931,1.0717734625362931,1.0717734625362931,1.0717734625362931,1.0717734625362931,1.0,
9,5,1.0717734625362931,1.0717734625362931,1.0717734625362931,1.0717734625362931,1.0717734625362931,1.0,
10,5,1.0820373898183429,1.0820373898183429,1.0820373898183429,1.0820373898183429,1.0820373898183429,1.0,
11,5,1.091493425617897,1.091493425617897,1.091493425617897,1.091493425617897,1.091493425617897,1.0,
12,5,1.100265093106018,1.100265093106018,1.100265093106018,1.100265093106018,1.100265093106018,1.0,
13,5,1.108449222600272,1.108449222600272,1.108449222600272,1.108449222600272,1.108449222600272,1.0,
14,5,1.1161231740339044,1.1161231740339044,1.1161231740339044,1.1161231740339044,1.1161231740339044,1.0,
15,5,1.1233497625229583,1.1233497625229583,1.1233497625229583,1.1233497625229583,1.1233497625229583,1.0,
16,5,1.1233497625229583,1.1233497625229583,1.1233497625229583,1.1233497625229583,1.1233497625229583,1.0,
17,5,1.1301807132434794,1.1301807132434794,1.1301807132434794,1.1301807132434794,1.1301807132434794,1.0,
18,5,1.1366591441393648,1.1366591441393648,1.1366591441393648,1.1366591441393648,1.1366591441393648,1.0,
19,5,1.1366591441393648,1.1366591441393648,1.1366591441393648,1.1366591441393648,1.1366591441393648,1.0,
20,5,1.1428213880435563,1.1428213880435563,1.1428213880435563,1.1428213880435563,1.1428213880435563,1.0,
21,5,1.148698354997035,1.148698354997035,1.148698354997035,1.148698354997035,1.148698354997035,1.0,
22,5,1.148698354997035,1.148698354997035,1.148698354997035,1.148698354997035,1.148698354997035,1.0,
23,5,1.148698354997035,1.148698354997035,1.148698354997035,1.148698354997035,1.148698354997035,1.0,
24,5,1.1543165676600577,1.1543165676600577,1.1543165676600577,1.1543165676600577,1.1543165676600577,1.0,
25,5,1.1543165676600577,1.1543165676600577,1.1543165676600577,1.1543165676600577,1.1543165676600577,1.0,
26,5,1.1596989598793381,1.1596989598793381,1.1596989598793381,1.1596989598793381,1.1596989598793381,1.0,
27,5,1.1596989598793381,1.1596989598793381,1.1596989598793381,1.1596989598793381,1.1596989598793381,1.0,
28,5,1.1596989598793381,1.1596989598793381,1.1596989598793381,1.1596989598793381,1.1596989598793381,1.0,
29,5,1.1596989598793381,1.1596989598793381,1.1596989598793381,1.1596989598793381,1.1596989598793381,1.0,
30,5,1.1648655007461621,1.1648655007461621,1.1648655007461621,1.1648655007461621,1.1648655007461621,1.0,
31,5,1.1698336881100935,1.1698336881100935,1.1698336881100935,1.1698336881100935,1.1698336881100935,1.0,
32,5,1.174618943088019,1.174618943088019,1.174618943088019,1.174618943088019,1.174618943088019,1.0,
33,5,1.1792349285460542,1.1792349285460542,1.1792349285460542,1.1792349285460542,1.1792349285460542,1.0,
34,5,1.1836938085304842,1.1836938085304842,1.1836938085304842,1.1836938085304842,1.1836938085304842,1.0,
35,5,1.1880064613519559,1.1880064613519559,1.1880064613519559,1.1880064613519559,1.1880064613519559,1.0,
36,5,1.1880064613519559,1.1880064613519559,1.1880064613519559,1.1880064613519559,1.1880064613519559,1.0,
37,5,1.1880064613519559,1.1880064613519559,1.1880064613519559,1.1880064613519559,1.1880064613519559,1.0,
38,5,1.1921826559427973,1.1921826559427973,1.1921826559427973,1.1921826559427973,1.1921826559427973,1.0,
39,5,1.1921826559427973,1.1921826559427973,1.1921826559427973,1.1921826559427973,1.1921826559427973,1.0,
40,5,1.1921826559427973,1.1921826559427973,1.1921826559427973,1.1921826559427973,1.1921826559427973,1.0,
41,5,1.1921826559427973,1.1921826559427973,1.1921826559427973,1.1921826559427973,1.1921826559427973,1.0,
42,5,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.0,
43,5,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.0,
44,5,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.0,
45,5,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.0,
46,5,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.0,
47,5,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.1962311988513155,1.0,
48,5,1.2001600575667746,1.2001600575667746,1.2001600575667746,1.2001600575667746,1.2001600575667746,1.0,
