iteration, destination,2->6,0->1,0->9,0->8,0->5,0->4,3->7,3->1,7->3,7->1,1->0,1->3,1->7,1->4,6->2,6->8,6->5,9->0,9->8,9->5,9->4,8->0,8->6,8->9,8->5,8->4,5->0,5->6,5->9,5->8,5->4,4->0,4->1,4->9,4->8,4->5,
1,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,9,1.0,1.0,1.0,1.0,1.0,77.52254904671696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77.52254904671696,1.0,1.0,77.52254904671696,1.0,1.0,1.0,1.0,
8,9,1.0,1.0,1.0,1.0,1.0,77.52254904671696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77.52254904671696,1.0,1.0,77.52254904671696,1.0,1.0,1.0,1.0,
9,9,1.0,1.0,1.0,1.0,40.66625396801253,77.52254904671696,1.0,1.0,1.0,40.66625396801253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.66625396801253,1.0,2338.9540186549148,1.0,1.0,77.52254904671696,1.0,1.0,1.0,1.0,
10,9,1.0,1.0,1.0,1.0,40.66625396801253,77.52254904671696,1.0,1.0,1.0,40.66625396801253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.66625396801253,1.0,2338.9540186549148,1.0,1.0,77.52254904671696,1.0,1.0,1.0,1.0,
