status, source address, destination address, ttl, payload, FailureCondition
1, 2, 4, 18, Round 0
1, 0, 4, 18, Round 0
1, 1, 4, 18, Round 0
1, 1, 4, 18, Round 1
1, 2, 4, 18, Round 1
0, 2, 4, 18, Round 5, QUEUE_OVERFLOW
0, 0, 4, 18, Round 5, QUEUE_OVERFLOW
0, 1, 4, 18, Round 5, QUEUE_OVERFLOW
1, 0, 4, 18, Round 1
0, 1, 4, 18, Round 6, QUEUE_OVERFLOW
1, 1, 4, 18, Round 2
0, 0, 4, 18, Round 7, QUEUE_OVERFLOW
1, 2, 4, 18, Round 2
0, 2, 4, 18, Round 7, QUEUE_OVERFLOW
0, 1, 4, 18, Round 8, QUEUE_OVERFLOW
0, 2, 4, 18, Round 8, QUEUE_OVERFLOW
1, 0, 4, 18, Round 2
0, 0, 4, 18, Round 9, QUEUE_OVERFLOW
0, 2, 4, 18, Round 9, QUEUE_OVERFLOW
0, 1, 4, 18, Round 9, QUEUE_OVERFLOW
1, 0, 4, 18, Round 3
0, 0, 4, 18, Round 10, QUEUE_OVERFLOW
1, 2, 4, 18, Round 3
0, 1, 4, 18, Round 11, QUEUE_OVERFLOW
0, 2, 4, 18, Round 11, QUEUE_OVERFLOW
1, 1, 4, 18, Round 3
0, 2, 4, 18, Round 12, QUEUE_OVERFLOW
1, 2, 4, 18, Round 4
0, 0, 4, 18, Round 12, QUEUE_OVERFLOW
0, 1, 4, 18, Round 13, QUEUE_OVERFLOW
0, 2, 4, 18, Round 13, QUEUE_OVERFLOW
1, 0, 4, 18, Round 4
0, 2, 4, 18, Round 14, QUEUE_OVERFLOW
0, 1, 4, 18, Round 14, QUEUE_OVERFLOW
1, 1, 4, 18, Round 4
0, 0, 4, 18, Round 15, QUEUE_OVERFLOW
0, 2, 4, 18, Round 15, QUEUE_OVERFLOW
0, 1, 4, 18, Round 15, QUEUE_OVERFLOW
1, 0, 4, 18, Round 6
0, 1, 4, 18, Round 16, QUEUE_OVERFLOW
1, 2, 4, 18, Round 6
1, 1, 4, 18, Round 7
0, 0, 4, 18, Round 17, QUEUE_OVERFLOW
0, 1, 4, 18, Round 17, QUEUE_OVERFLOW
0, 0, 4, 18, Round 18, QUEUE_OVERFLOW
0, 1, 4, 18, Round 18, QUEUE_OVERFLOW
1, 0, 4, 18, Round 8
0, 1, 4, 18, Round 19, QUEUE_OVERFLOW
1, 2, 4, 18, Round 10
0, 2, 4, 18, Round 19, QUEUE_OVERFLOW
0, 0, 4, 18, Round 20, QUEUE_OVERFLOW
1, 1, 4, 18, Round 10
0, 2, 4, 18, Round 20, QUEUE_OVERFLOW
0, 2, 4, 18, Round 21, QUEUE_OVERFLOW
0, 0, 4, 18, Round 21, QUEUE_OVERFLOW
0, 1, 4, 18, Round 21, QUEUE_OVERFLOW
1, 0, 4, 18, Round 11
1, 1, 4, 18, Round 12
0, 0, 4, 18, Round 22, QUEUE_OVERFLOW
0, 2, 4, 18, Round 23, QUEUE_OVERFLOW
